"filename", "language", "YAML", "JSON", "Swift", "HTML", "XML", "C++", "Markdown", "Dart", "Gradle", "Java Properties", "Java", "comment", "blank", "total"
"c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\donation_details_widget\donar_account_box.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 216, 0, 0, 0, 66, 12, 294
"c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\donation_details_widget\donation_details_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 2, 28
"c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\donation_details_widget\donation_details_image.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 2, 22
"c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\donation_details_widget\donation_details_info.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 2, 55
"c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\donation_details_widget\image_count_and_full_count.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 2, 53
"c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\donation_details_widget\request_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 2, 32
"c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\donation_details_widget\title_donation_details_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 2, 22
"c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\donation_widget\donation_component.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 17, 3, 127
"c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\donation_widget\donation_cover_Info.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 2, 58
"c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\donation_widget\donation_cover_image.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 4, 1, 41
"c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\filter_widget\body_of_botton_sheet.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 4, 47
"c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\filter_widget\filter_result_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 2, 37
"c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\filter_widget\fulter_button_to_bottn_sheet.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 3, 33
"c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\filter_widget\location_filter.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 1, 5, 108
"c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\filter_widget\order_and_filter.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 5, 2, 43
"c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\filter_widget\order_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 2, 30
"c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\filter_widget\type_of_donation_filter.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 1, 6, 96
"c:\flutter\graduation project\takaful\lib\features\get_donation\presentation\views\widget\image_count.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 2, 47
"c:\flutter\graduation project\takaful\lib\features\home\data\ad_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\flutter\graduation project\takaful\lib\features\home\presentation\cubit\cubit\get_ads_cubit.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 4, 26
"c:\flutter\graduation project\takaful\lib\features\home\presentation\cubit\cubit\get_ads_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 6, 15
"c:\flutter\graduation project\takaful\lib\features\home\presentation\views\Modern_Elements_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 6, 69
"c:\flutter\graduation project\takaful\lib\features\home\presentation\views\home_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 6, 8, 101
"c:\flutter\graduation project\takaful\lib\features\home\presentation\views\home_page_content.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 5, 101
"c:\flutter\graduation project\takaful\lib\features\home\presentation\views\keep_browsing_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 6, 70
"c:\flutter\graduation project\takaful\lib\features\home\presentation\views\navegator_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 1, 4, 72
"c:\flutter\graduation project\takaful\lib\features\home\presentation\views\widget\ad_application.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 2, 35
"c:\flutter\graduation project\takaful\lib\features\home\presentation\views\widget\ad_component.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 6, 86
"c:\flutter\graduation project\takaful\lib\features\home\presentation\views\widget\ad_post.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 3, 77
"c:\flutter\graduation project\takaful\lib\features\home\presentation\views\widget\category.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 2, 44
"c:\flutter\graduation project\takaful\lib\features\home\presentation\views\widget\home_page_app_bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 3, 4, 60
"c:\flutter\graduation project\takaful\lib\features\my_donation\presentation\cubit\cubit\edit_and_delete_donation_cubit.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 4, 44
"c:\flutter\graduation project\takaful\lib\features\my_donation\presentation\cubit\cubit\edit_and_delete_donation_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6, 12
"c:\flutter\graduation project\takaful\lib\features\my_donation\presentation\view\edit_donation_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 152, 0, 0, 0, 15, 11, 178
"c:\flutter\graduation project\takaful\lib\features\my_donation\presentation\view\my_donation_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 3, 5, 102
"c:\flutter\graduation project\takaful\lib\features\my_donation\presentation\view\widget\image_donation_cover.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 4, 39
"c:\flutter\graduation project\takaful\lib\features\my_donation\presentation\view\widget\my_donation_component.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 12, 7, 143
"c:\flutter\graduation project\takaful\lib\features\my_request\presentation\my_request_donation_details_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 22, 11, 178
"c:\flutter\graduation project\takaful\lib\features\my_request\presentation\view\my_request_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 2, 8, 82
"c:\flutter\graduation project\takaful\lib\features\my_request\presentation\view\widget\my_request_component.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 10, 7, 104
